,league,date,home_team,away_team,home_odds,home_odds_max,draw_odds,draw_odds_max,away_odds,away_odds_max
171,T1,2021-10-16,Sivasspor,Antalyaspor,1.72,1.88,3.6,3.75,4.33,4.5
172,T1,2021-10-16,Ad. Demirspor,Yeni Malatyaspor,1.7,1.8,3.6,4.16,4.5,4.72
173,T1,2021-10-17,Kasimpasa,Goztep,2.15,2.4,3.2,3.56,3.2,3.2
174,T1,2021-10-17,Altay,Karagumruk,2.0,2.16,3.25,3.76,3.6,3.6
175,T1,2021-10-17,Galatasaray,Konyaspor,1.5,1.61,4.0,4.49,6.5,6.5
176,T1,2021-10-17,Trabzonspor,Fenerbahce,2.2,2.55,3.2,3.54,3.1,3.1
177,T1,2021-10-18,Alanyaspor,Kayserispor,1.65,1.78,3.6,4.19,4.75,4.84
178,T1,2021-10-18,Hatayspor,Gaziantep,1.7,1.87,3.6,4.02,4.5,4.56
179,Russia,2021-10-16,Arsenal Tula,Zenit,9.24,11.25,5.34,5.5,1.36,1.37
180,Russia,2021-10-16,Rubin Kazan,Lokomotiv Moscow,2.75,2.75,3.27,3.45,2.79,2.93
181,Russia,2021-10-16,Sochi,FK Rostov,1.78,1.84,3.83,3.83,4.87,4.96
182,Russia,2021-10-16,Spartak Moscow,Dynamo Moscow,2.56,2.65,3.37,3.45,2.93,3.04
183,Russia,2021-10-17,Ural,CSKA Moscow,6.16,6.16,3.92,4.01,1.63,1.7
184,Russia,2021-10-17,FK Krylya Sovetov Samara,Nizhny Novgorod,1.83,1.88,3.77,3.77,4.55,4.84
185,Russia,2021-10-17,Khimki,Akhmat Grozny,2.59,2.7,3.34,3.4,2.88,2.95
186,Russia,2021-10-17,Krasnodar,Ufa,1.41,1.47,5.21,5.21,7.18,7.42
