ThisDiv,Date,HomeTeam,Hwpg,Hdpg,Hlpg,Hgspg,Hgcpg,Hstfpg,Hstapg,Hsfpg,Hsapg,AwayTeam,Awpg,Adpg,Alpg,Agspg,Agcpg,Astfpg,Astapg,Asfpg,Asapg,RowValid,FTR,Over
E1,25/09/2001 00:00:00,Man City,0.60982466,0.041201767,0.34897354,2.217685,1.2616963,7.2782984,3.6069224,16.54968,8.198263,Walsall,0.17341512,0.2529521,0.5736327,1.3484716,1.9455324,4.161127,7.9797063,9.402093,13.907552,True,H,Y
E3,25/09/2001 00:00:00,Mansfield,0.71975297,0.19362941,0.086617604,1.8582518,0.77241147,9.671132,3.493373,18.424377,7.3158717,Hull,0.28360516,0.6171244,0.0992704,0.83661145,0.5841567,4.2116604,4.5268264,9.653791,10.226251,True,H,Y
E2,25/09/2001 00:00:00,Northampton,0.30297047,0,0.6970296,0.60594094,1.6301327,3.4226499,5.018815,9.8894,11.666076,Blackpool,0.4273396,0,0.57266045,1.3274924,1.7313169,3.9421136,5.2446694,7.4873166,9.880168,True,A,Y
E1,26/09/2001 00:00:00,Watford,0.61835635,0.16226037,0.2193834,2.1822734,1.251993,8.609696,5.523893,17.126663,10.430439,Birmingham,0.29117933,0.18800738,0.5208133,0.97875404,1.8574488,4.022284,5.947787,8.053582,13.467588,True,D,Y
E1,28/09/2001 00:00:00,Barnsley,0.40057442,0.4424549,0.15697068,1.5114744,1.1608677,4.63524,3.6339526,10.584216,8.564134,Portsmouth,0.13194971,0.55985653,0.3081938,0.9670034,1.4558432,4.913783,7.617108,9.2099085,14.560171,True,A,Y
D2,28/09/2001 00:00:00,Bielefeld,0.61100304,0.24742842,0.14156853,2.761799,1.1004195,9.028459,3.9506078,15.430675,10.038633,Duisburg,0.059587702,0.07098362,0.86942863,0.5737366,1.7186925,4.049724,6.042964,9.92742,12.209235,True,D,Y
E1,29/09/2001 00:00:00,Crystal Palace,0.53527755,0.05266866,0.4120538,1.8328781,1.1207021,5.5962744,3.65271,14.928926,8.433451,Sheffield Weds,0.21042627,0.3680781,0.42149562,0.8382604,1.2392024,5.0272727,5.8596597,11.46645,10.81757,True,H,Y
E0,29/09/2001 00:00:00,Derby,0.3635192,0.30625126,0.33022958,1.2224116,1.3109558,4.289912,5.4403286,8.543607,12.225399,Arsenal,0.5204731,0.3507074,0.12881938,2.0227628,0.9673605,6.919429,3.4767435,11.872338,8.167066,True,A,N
SC0,29/09/2001 00:00:00,Dundee,0.3385394,0.27165127,0.38980937,0.8156015,1.5876992,4.4871707,5.00526,9.766067,9.857633,Aberdeen,0.17709185,0.25022954,0.5726785,0.66116273,1.180044,2.6608224,5.8723207,7.211208,11.992389,True,A,Y
SC1,29/09/2001 00:00:00,Partick,0.7447273,0.13335392,0.121918626,2.1839743,0.795708,5.6354556,2.525149,10.278465,7.7480536,Airdrie,0.5256393,0.1740246,0.30033618,2.3555589,1.7654499,6.111938,4.312554,11.275848,9.480935,True,D,N
E3,29/09/2001 00:00:00,Plymouth,0.44953123,0.17141762,0.37905112,1.4370208,1.0762812,6.4510818,3.0200777,13.329851,7.490323,Luton,0.4320152,0.24138398,0.32660082,1.8806112,1.6501684,5.5388255,5.4535384,11.194861,10.692758,True,H,Y
SC2,29/09/2001 00:00:00,Queen of Sth,0.5296132,0.062258594,0.40812832,1.3344016,1.1428521,5.670201,5.021976,11.622763,9.870403,Alloa,0.5380042,0.2906785,0.17131732,1.636751,1.0396973,4.494768,4.976485,7.96092,11.071607,True,H,Y
E2,29/09/2001 00:00:00,Wycombe,0.40212157,0.50930554,0.08857285,1.207639,0.64901024,5.739534,4.240356,9.744417,9.009607,Port Vale,0.26332504,0.29895413,0.43772087,1.1799066,1.570033,3.6154788,5.5887375,7.3889017,11.35039,True,H,Y
E0,30/09/2001 00:00:00,Aston Villa,0.28836316,0.6691126,0.04252425,1.0853554,0.83951646,3.70219,3.7360902,8.721107,7.304713,Blackburn,0.2907197,0.38459766,0.3246827,1.198795,0.90200317,4.771786,4.4367023,10.805116,11.557508,True,H,N
D1,30/09/2001 00:00:00,Bayern Munich,0.81944114,0.04897453,0.13158427,1.7500856,0.6081993,8.552904,2.871445,18.389088,6.4712067,Stuttgart,0.35784835,0.29671356,0.34543815,1.364088,1.1402038,5.758611,3.7172854,11.602904,10.52923,True,H,Y
E3,05/10/2001 00:00:00,Luton,0.4021375,0.44472957,0.15313292,1.7600379,0.92179227,6.260871,4.059521,13.322702,9.213147,Darlington,0.12936215,0.3834378,0.4872,0.9196475,1.3291936,4.021239,5.1110096,9.681778,10.221837,True,H,Y
E3,05/10/2001 00:00:00,Mansfield,0.7905721,0.17038469,0.03904319,2.1897151,0.88260406,9.970845,3.6827583,19.05964,8.192636,Leyton Orient,0.24955283,0.36817363,0.3822735,0.8388543,1.2765657,3.0378716,4.656806,9.036742,10.988943,True,H,Y
E2,05/10/2001 00:00:00,Port Vale,0.34774444,0.09126927,0.56098646,1.2477729,1.4321204,6.1068654,4.17938,14.389497,11.017172,Cambridge,0.09262505,0.27173442,0.6356405,0.85489374,1.4397695,3.0642054,5.6565475,6.2876925,13.899682,True,H,Y
SC3,13/10/2001 00:00:00,Albion Rvs,0.3978262,0.16485627,0.43731746,0.8909713,1.5736287,6.0257277,4.4642224,11.329421,8.004381,East Fife,0.22745328,0.26989484,0.50265193,1.1150131,1.9936953,6.487196,6.632446,11.979901,12.549132,True,H,Y
